,id,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst,gender,Bratio
id,1.0,0.07475074271940114,0.0966252904096977,0.07434909322588541,0.0983268035563963,-0.009995025990520223,-0.0014235621595876564,0.05331068476012133,0.045903516632824715,-0.023380262895888876,-0.054746016312583475,0.1445403575666633,-0.01143347959072864,0.1384023458552783,0.1797033691952961,0.09637990986652657,0.03637848413479466,0.055726993030712026,0.07897516053278421,-0.01777478577973282,0.023636286946009298,0.08315207843150298,0.06606829217802879,0.0834025888170193,0.1077852226309294,0.00807983537557777,-0.003094648093723781,0.02533165121387702,0.03576768259391732,-0.041091260824982594,-0.03131356011780088,,0.05252862316308645
radius_mean,0.07475074271940114,1.0,0.2780259638477725,0.9978401373437952,0.9871673788307387,0.0691635831009505,0.5069270155414125,0.6723562240814588,0.8240738229002297,0.14706473227167713,-0.31849297086807926,0.6786400487555431,-0.10202755102119587,0.6700253124772403,0.73194768616714,-0.22044603397470783,0.1852815505272082,0.19211662319516257,0.3762392108305304,-0.1066806236477044,-0.04196103759705863,0.9691731580072975,0.2872969451990228,0.9641200719530502,0.9406668516728115,0.12103801157560344,0.41294632178310314,0.5251413501708138,0.7431613643429335,0.1647947800246331,0.0045593667496488955,,0.06476430066277478
texture_mean,0.0966252904096977,0.2780259638477725,1.0,0.2888142556206209,0.28609225737198896,0.02661365897491951,0.22443311433815014,0.2669016474610679,0.2613417857819847,0.06902504698481975,-0.057353715221847505,0.2731733375682346,0.36977074510755503,0.26412469043251924,0.23624508704634356,0.01719469451155412,0.1865888974260844,0.13716499757950176,0.1523610901043793,0.020621328686109053,0.0599256861705384,0.30473513660342094,0.846600802186565,0.3114364075335721,0.29904126782032475,0.06556041948514243,0.2613757879597129,0.27289733548807726,0.25313023833890436,0.09649523594090526,0.11376920923777567,,0.004790814854341759
perimeter_mean,0.07434909322588541,0.9978401373437952,0.2888142556206209,1.0,0.9865209993089256,0.06619767911158256,0.558629896727364,0.7129719289769484,0.852797585888077,0.18177914468744216,-0.2637095435109165,0.6947819427259602,-0.08877855809176369,0.6925429191256942,0.7440422216126588,-0.2025606526541603,0.23117123576463874,0.2300883014553775,0.408753235616557,-0.08350783981042088,-0.0023977734045891983,0.9693693527080612,0.2978024154352102,0.9698745393903162,0.9417054113474774,0.15013681883881255,0.4553342336543242,0.5650960510126927,0.7704555023838691,0.1889843721116409,0.05075832849571453,,0.07384009394143314
area_mean,0.0983268035563963,0.9871673788307387,0.28609225737198896,0.9865209993089256,1.0,0.07312209847199659,0.499894283659526,0.6817197259050828,0.8257678232710981,0.14775239140674815,-0.2839687305668531,0.7357018240959419,-0.06537070084844603,0.7269172142006937,0.7995582547222251,-0.15936908787314868,0.1934134372195427,0.2114730825482076,0.3773855525919844,-0.07123152334882248,-0.014638910697687593,0.9624995910126347,0.2837916264018398,0.9591305148240011,0.9590600519633494,0.12262642562770189,0.39014067878622427,0.5115287337312752,0.7231442996824756,0.13931794796520539,0.0023238783681796796,,0.08722657210706793
smoothness_mean,-0.009995025990520223,0.0691635831009505,0.02661365897491951,0.06619767911158256,0.07312209847199659,1.0,-0.0014329956708443478,0.03181669465659536,0.05041231307078654,-0.03541325272482996,-0.05316823384957435,0.05418263797795632,-0.015158333072163495,0.06292544807937143,0.06803879759798528,-0.0076338688840832634,-0.015545169895589746,0.0026365340223073186,0.023275219247034608,-0.03565588404775841,-0.028812232615105748,0.0973234304246922,0.035735438996674015,0.10165186544942241,0.11387226579053024,0.034493345514680085,0.016129576894022654,0.05335890344079083,0.0798735101941249,-0.009229901320040016,-0.01831844180339513,,-0.06374756379904309
compactness_mean,-0.0014235621595876564,0.5069270155414125,0.22443311433815014,0.558629896727364,0.499894283659526,-0.0014329956708443478,1.0,0.8807666798026901,0.8307190317358908,0.6055813734326474,0.5619390228580404,0.500684493653488,0.046529446181633856,0.5494692206823357,0.45734727241452755,0.13123961011279497,0.7316387340780331,0.573494296606966,0.6425348929616648,0.23126128917321478,0.5056478200626016,0.5370372853760073,0.25325099944095597,0.589790344576084,0.5128922869421354,0.5630498994586394,0.8663121789281738,0.8169787482680255,0.8164387299651342,0.5145379396268452,0.6865482610197376,,0.08713068397965605
concavity_mean,0.05331068476012133,0.6723562240814588,0.2669016474610679,0.7129719289769484,0.6817197259050828,0.03181669465659536,0.8807666798026901,1.0,0.919901131878949,0.49735827440929675,0.335283181226857,0.6307322074094086,0.07022358788823665,0.6562500466954707,0.6146724175999871,0.10127679084724395,0.6563443264703097,0.6913374622475583,0.6874548111338028,0.1793457794466594,0.44824261050671765,0.6823569452047819,0.2906502696242935,0.7212112382525556,0.6721235560795489,0.44931062964432184,0.7492126824834414,0.8824435761358893,0.8611923077970834,0.4063458025693864,0.5103307276173196,,0.11475460826707622
concave points_mean,0.045903516632824715,0.8240738229002297,0.2613417857819847,0.852797585888077,0.8257678232710981,0.05041231307078654,0.8307190317358908,0.919901131878949,1.0,0.45690601538416287,0.15678219591083484,0.6972136445976725,0.010381164462351765,0.7068838698941561,0.6871352609021629,0.019005084156937184,0.4708684350182327,0.43709286318388807,0.6120001264043187,0.09429917422625615,0.2566384151116782,0.8315556195483647,0.28900224060890123,0.8539072634939189,0.8118496965661808,0.4520107952175117,0.6652928268764506,0.7535627627648739,0.9097886437633257,0.377054891329626,0.36699314052578497,,0.10318380551047864
symmetry_mean,-0.023380262895888876,0.14706473227167713,0.06902504698481975,0.18177914468744216,0.14775239140674815,-0.03541325272482996,0.6055813734326474,0.49735827440929675,0.45690601538416287,1.0,0.4788752005641293,0.3022504638166747,0.128057736601414,0.31375373441331805,0.2234182928828431,0.18805862469096482,0.4124597368025898,0.3469242738776574,0.39533377737411035,0.44839045639007175,0.3326023021181892,0.1869723871732594,0.08896365260396197,0.22101857491102606,0.17554681855943358,0.4287722301111438,0.4942165374339469,0.4406202442553905,0.43099031459031595,0.7021081378562427,0.45124356128551457,,0.08407359957972284
